Negara,Provinsi,Bulan,Tahun,Jumlah Dana Pensiun,Aset (Rp Miliar),Aset Neto (Rp Miliar),Investasi (Rp Miliar)
INDONESIA,SUMATERA SELATAN,Desember,2019,5,4544.71519031957,4535.109185758571,4340.584042573
INDONESIA,KEPULAUAN BANGKA BELITUNG,Desember,2019,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Desember,2019,1,146.550882259,146.460882259,143.514267758
INDONESIA,JAMBI,Desember,2019,1,168.787880518,168.600667933,164.910165938
INDONESIA,BENGKULU,Desember,2019,1,83.323369015,83.036119015,81.357950855
INDONESIA,SUMATERA SELATAN,Desember,2020,5,4714.72788585501,4706.21754675001,4546.6510793118205
INDONESIA,KEPULAUAN BANGKA BELITUNG,Desember,2020,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Desember,2020,1,155.537487634,155.507487634,152.638364645
INDONESIA,JAMBI,Desember,2020,1,180.050480633,179.951705048,174.322150069
INDONESIA,BENGKULU,Desember,2020,1,88.320032084,88.022100907,85.810815823
INDONESIA,SUMATERA SELATAN,Desember,2021,5,4846.564061305359,4834.95843887383,4658.1435668696695
INDONESIA,KEPULAUAN BANGKA BELITUNG,Desember,2021,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Desember,2021,1,165.004946925,164.907446925,162.328747229
INDONESIA,JAMBI,Desember,2021,1,192.1386943,191.878694311,186.495625545
INDONESIA,BENGKULU,Desember,2021,1,96.450093203,96.211746885,92.622114569
INDONESIA,SUMATERA SELATAN,Desember,2022,5,5054.5402353410245,5043.846262768774,4968.109365882534
INDONESIA,KEPULAUAN BANGKA BELITUNG,Desember,2022,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Desember,2022,1,170.274824863,170.242324871,167.951891575
INDONESIA,JAMBI,Desember,2022,1,205.971567509,205.66373418,197.830854017
INDONESIA,BENGKULU,Desember,2022,1,105.837582,105.740623524,102.133443769
INDONESIA,SUMATERA SELATAN,Januari,2023,5,5079.072777042211,5064.271814491772,4942.944751951111
INDONESIA,KEPULAUAN BANGKA BELITUNG,Januari,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Januari,2023,1,171.987006855,171.95992353,168.855706789
INDONESIA,JAMBI,Januari,2023,1,207.440253515,207.140586853,198.571789686
INDONESIA,BENGKULU,Januari,2023,1,106.224226714,106.130182938,103.193443769
INDONESIA,SUMATERA SELATAN,Februari,2023,5,5100.118029543041,5086.16595252603,4905.697059993621
INDONESIA,KEPULAUAN BANGKA BELITUNG,Februari,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Februari,2023,1,172.369080128,172.34741347,169.812528337
INDONESIA,JAMBI,Februari,2023,1,208.194683609,207.903183614,196.492716206
INDONESIA,BENGKULU,Februari,2023,1,106.770466415,106.701623496,103.273443769
INDONESIA,SUMATERA SELATAN,Maret,2023,5,5122.24911199375,5107.82272425533,4930.95495828109
INDONESIA,KEPULAUAN BANGKA BELITUNG,Maret,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Maret,2023,1,173.110500657,173.094250665,170.044649658
INDONESIA,JAMBI,Maret,2023,1,209.408465286,209.103256961,197.843506275
INDONESIA,BENGKULU,Maret,2023,1,107.342689828,107.275773221,106.196693769
INDONESIA,SUMATERA SELATAN,April,2023,5,5146.120818711604,5133.536419747575,4954.740070434724
INDONESIA,KEPULAUAN BANGKA BELITUNG,April,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,April,2023,1,173.849129159,173.838295826,171.345816172
INDONESIA,JAMBI,April,2023,1,210.495836022,210.206086031,197.984082161
INDONESIA,BENGKULU,April,2023,1,107.195709781,107.128793174,104.516693769
INDONESIA,SUMATERA SELATAN,Mei,2023,5,5139.132433988213,5128.312193439351,4954.342830821362
INDONESIA,KEPULAUAN BANGKA BELITUNG,Mei,2023,0,0.0,0.0,0.0
INDONESIA,LAMPUNG,Mei,2023,1,176.281102434,176.275685767,173.399294007
INDONESIA,JAMBI,Mei,2023,1,212.387790062,212.113498405,201.276303129
INDONESIA,BENGKULU,Mei,2023,1,108.467022161,108.407987161,106.316693769
INDONESIA,SUMATERA SELATAN,Juni,2023,5,5190.86361745638,5180.30293197855,4951.580305677369
INDONESIA,KEPULAUAN BANGKA BELITUNG,Juni,2023,0,0.0,0.0,0.0
