Jumlah Bulan Laporan,10,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,2025,,,,,,,,,,,,,,,,,,,
,PROVINSI SUMATERA SELATAN,,,,,,,,,,,,,,,,,,,
,KAB. BANYUASIN,KAB. EMPAT LAWANG,KAB. LAHAT,KAB. MUARA ENIM,KAB. MUSI BANYUASIN,KAB. MUSI RAWAS,KAB. MUSI RAWAS UTARA,KAB. OGAN ILIR,KAB. OGAN KOMERING ILIR,KAB. OGAN KOMERING ULU,KAB. OGAN KOMERING ULU SELATAN,KAB. OGAN KOMERING ULU TIMUR,KAB. PENUKAL ABAB LEMATANG ILIR,KOTA LUBUK LINGGAU,KOTA PAGAR ALAM,KOTA PALEMBANG,KOTA PRABUMULIH,All,,
ADMINISTRASI PEMERINTAHAN DAN KEBIJAKAN EKONOMI DAN SOSIAL,,,,,,,,,,,,,,,,3000000000,,3000000000,,
"ADMINISTRASI PEMERINTAHAN, PERTAHANAN DAN JAMINAN SOSIAL WAJIB",,,,,,,,,,,,,,,,,,,,
AKTIVITAS AGEN PERJALANAN BUKAN WISATA,,,,,,,,,,,,,,,,,,,,
AKTIVITAS AGEN PERJALANAN WISATA,,,,236595528,,,,,360624463,680528316,,,,150475326,78263328,4881805659,96356651,6484649271,,
AKTIVITAS ARSITEKTUR DAN KEINSINYURAN; ANALISIS DAN UJI TEKNIS,,,,228804809,,,,,,677454874,,,,1362469982,109915754,8467660650,,10846306069,,
AKTIVITAS BADAN INTERNASIONAL DAN BADAN EKSTRA INTERNASIONAL LAINNYA,,,,,,,,,,,,,,,,,,,,
AKTIVITAS BIRO PERJALANAN WISATA,,,,,,,,,,,,,,,,198257404,,198257404,,
"AKTIVITAS HIBURAN, SENI DAN KREATIVITAS LAINNYA",,,331985813,94426411,176944218,,,,285594267,928705376,10682641,,70999670,1516891772,535075893,14966113425,14816244736,33733664222,,
AKTIVITAS HOSTING DAN YBDI,,,61511649,,,,,,,,,,,46722606,,85210344,,193444599,,
AKTIVITAS HUKUM DAN AKUNTANSI,,,,,,,,,,112570873,,,,418767133,201342647,3531544238,,4264224891,,
AKTIVITAS JASA INFORMASI LAINNYA YTDL,,,,294350666,,,,,,213921846,,,,,,2211682128,,2719954640,,
"AKTIVITAS JASA KEUANGAN LAINNYA YTDL, BUKAN ASURANSI DAN DANA PENSIUN",,,,,,,,,,,,,,,,37348390364,,37348390364,,
AKTIVITAS JASA LAINNYA,,,,,,,,,,,,,,,,,,,,
AKTIVITAS JASA PENUNJANG USAHA YTDL,583107822,54167322,42210407,226740923,864944770,37611962,,136434956,2349298158,1862684092,,27557720,,20749758746,1052705674,142570114571,13848134775,184405471898,,
AKTIVITAS JASA PERORANGAN LAINNYA YTDL,,,44047879152,71308188883,61673071503,,,,89608303806,118943686757,,,,75826013308,50214242110,719056753257,49771338646,1280449477422,,
AKTIVITAS KANTOR BERITA,,,,,,,,,,,,,,,,,,,,
AKTIVITAS KESEHATAN HEWAN,,,,119154939,,,,,,5440575288,,,,,,1159605323,,6719335550,,
AKTIVITAS KESEHATAN MANUSIA DAN AKTIVITAS SOSIAL,,,,,,,,,,,,,,,,,,,,
AKTIVITAS KETENAGAKERJAAN,,,,418399787,,,,,,,,,,,,38996388322,,39414788109,,
