Provinsi,Kab/Kota,Tahun,Bulan,Jenis Bank,Skema,Aset,Kredit ,DPK,NPL
Sumatera Selatan,Kab. Banyuasin,2019,Desember,Bank Umum,Konvensional,808.433308161,784.348584323,593.235045407,48.934784388
Sumatera Selatan,Kab. Empat Lawang,2019,Desember,Bank Umum,Konvensional,403.309487574,369.824992394,256.031184372,0.676452941
Sumatera Selatan,Kab. Lahat,2019,Desember,Bank Umum,Konvensional,1821.342347079,1638.794795617,1651.173537377,31.505317889
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2019,Desember,Bank Umum,Konvensional,6483.117804949,2133.226881416,6394.552095463,99.778928221
Sumatera Selatan,Kab. Musi Banyuasin,2019,Desember,Bank Umum,Konvensional,3488.230004287,2410.105464859,3220.612414247,54.119545579
Sumatera Selatan,Kab. Musi Rawas,2019,Desember,Bank Umum,Konvensional,0,0,0,0
Sumatera Selatan,Kab. Musi Rawas Utara,2019,Desember,Bank Umum,Konvensional,0,0,0,0
Sumatera Selatan,Kab. Ogan Ilir,2019,Desember,Bank Umum,Konvensional,0,0,0,0
Sumatera Selatan,Kab. Ogan Komering Ilir,2019,Desember,Bank Umum,Konvensional,3904.580133913,3542.313369544,3548.598399244,41.206099506
Sumatera Selatan,Kab. Ogan Komering Ulu,2019,Desember,Bank Umum,Konvensional,3409.908022308,3243.645891741,2912.96780268,88.049106462
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2019,Desember,Bank Umum,Konvensional,608.305500925,553.476974786,302.631953222,5.225662066
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2019,Desember,Bank Umum,Konvensional,769.587235265,752.61719156,496.165294014,14.083070312
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2019,Desember,Bank Umum,Konvensional,241.083601186,214.092024491,196.985992843,2.058845669
Sumatera Selatan,Kota Lubuklinggau,2019,Desember,Bank Umum,Konvensional,3537.846091276,3015.776257543,3309.567497514,84.009477636
Sumatera Selatan,Kota Pagar Alam,2019,Desember,Bank Umum,Konvensional,1276.511371434,1240.272961249,810.538141081,15.857088873
Sumatera Selatan,Kota Palembang,2019,Desember,Bank Umum,Konvensional,64416.186950516,53136.326769147,50680.18164517,1644.416958876
Sumatera Selatan,Kota Prabumulih,2019,Desember,Bank Umum,Konvensional,3959.520780443,2559.978276325,3853.987169567,111.880980518
Sumatera Selatan,All Sumatera Selatan,2019,Desember,Bank Umum,Konvensional,87910.56845311,75594.800434995,78227.228172201,2241.802318936
Sumatera Selatan,Kab. Banyuasin,2020,Desember,Bank Umum,Konvensional,1141.562032052,1115.340162727,633.913996803,52.26364787
Sumatera Selatan,Kab. Empat Lawang,2020,Desember,Bank Umum,Konvensional,432.699717201,397.830098884,278.006990752,0.743534489
Sumatera Selatan,Kab. Lahat,2020,Desember,Bank Umum,Konvensional,1832.632372977,1693.665885373,1660.629295113,24.179396756
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2020,Desember,Bank Umum,Konvensional,4200.83031424,2096.349355557,4073.234716689,69.550123039
Sumatera Selatan,Kab. Musi Banyuasin,2020,Desember,Bank Umum,Konvensional,3637.144072996,2587.082445616,3377.467864075,39.947511945
Sumatera Selatan,Kab. Musi Rawas,2020,Desember,Bank Umum,Konvensional,0,0,0,0
Sumatera Selatan,Kab. Musi Rawas Utara,2020,Desember,Bank Umum,Konvensional,0,0,0,0
Sumatera Selatan,Kab. Ogan Ilir,2020,Desember,Bank Umum,Konvensional,0,0,0,0
Sumatera Selatan,Kab. Ogan Komering Ilir,2020,Desember,Bank Umum,Konvensional,3832.368400496,3772.191691994,3500.862050821,34.92234334
Sumatera Selatan,Kab. Ogan Komering Ulu,2020,Desember,Bank Umum,Konvensional,3533.519134844,3427.19111682,3050.104679821,64.357455593
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2020,Desember,Bank Umum,Konvensional,610.147178247,575.198568292,302.114911612,6.757065681
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2020,Desember,Bank Umum,Konvensional,804.502656947,783.32746222,658.091991822,16.360965192
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2020,Desember,Bank Umum,Konvensional,279.858701413,257.813781141,161.172957671,8.110921891
Sumatera Selatan,Kota Lubuklinggau,2020,Desember,Bank Umum,Konvensional,3681.666562138,3286.080057487,3469.047061397,66.108613594
Sumatera Selatan,Kota Pagar Alam,2020,Desember,Bank Umum,Konvensional,1343.504988092,1322.474759614,906.972480039,14.916755602
Sumatera Selatan,Kota Palembang,2020,Desember,Bank Umum,Konvensional,61952.517385455,53375.968834587,54302.058975981,2655.020454694
Sumatera Selatan,Kota Prabumulih,2020,Desember,Bank Umum,Konvensional,4329.398924122,3107.505919625,4197.522617826,60.696556229
Sumatera Selatan,All Sumatera Selatan,2020,Desember,Bank Umum,Konvensional,90041.208015776,77798.020139937,80571.200590422,3113.935345915
Sumatera Selatan,Kab. Banyuasin,2021,Desember,Bank Umum,Konvensional,1131.318420737,1103.830440973,713.445760132,52.304862156
Sumatera Selatan,Kab. Empat Lawang,2021,Desember,Bank Umum,Konvensional,594.905116715,558.051911168,328.241344544,0.898749068
Sumatera Selatan,Kab. Lahat,2021,Desember,Bank Umum,Konvensional,2098.116648366,1803.378833729,1923.84041662,32.372110918
Sumatera Selatan,Kab. Lematang Ilir Ogan Tengah (Muara Enim),2021,Desember,Bank Umum,Konvensional,7614.250288112,2343.757134563,7501.467248917,71.777809436
Sumatera Selatan,Kab. Musi Banyuasin,2021,Desember,Bank Umum,Konvensional,3106.449800011,2721.286451665,2816.74963929,42.734504811
Sumatera Selatan,Kab. Musi Rawas,2021,Desember,Bank Umum,Konvensional,454.934804889,413.859854092,414.992280727,5.583193382
Sumatera Selatan,Kab. Musi Rawas Utara,2021,Desember,Bank Umum,Konvensional,244.800803862,217.815553729,231.176575285,7.841285247
Sumatera Selatan,Kab. Ogan Ilir,2021,Desember,Bank Umum,Konvensional,808.689528723,629.895606215,745.61177897,0.990245032
Sumatera Selatan,Kab. Ogan Komering Ilir,2021,Desember,Bank Umum,Konvensional,3660.595089622,3660.24480137,2926.893557915,41.600891752
Sumatera Selatan,Kab. Ogan Komering Ulu,2021,Desember,Bank Umum,Konvensional,3779.078604348,3597.432475894,3174.607327861,71.08003983
Sumatera Selatan,Kab. Ogan Komering Ulu Selatan,2021,Desember,Bank Umum,Konvensional,663.675417167,618.905880619,328.480236778,6.572104423
Sumatera Selatan,Kab. Ogan Komering Ulu Timur,2021,Desember,Bank Umum,Konvensional,876.717313153,822.518080396,543.574844163,17.10500181
Sumatera Selatan,Kab. Penukal Abab Lematang Ilir,2021,Desember,Bank Umum,Konvensional,470.478507165,245.12593444,449.326430263,8.72464214
Sumatera Selatan,Kota Lubuklinggau,2021,Desember,Bank Umum,Konvensional,3515.795269532,3173.803790679,3305.864313919,48.433841522
Sumatera Selatan,Kota Pagar Alam,2021,Desember,Bank Umum,Konvensional,1466.001913073,1437.409662248,948.44436947,18.888693443
Sumatera Selatan,Kota Palembang,2021,Desember,Bank Umum,Konvensional,67584.64228221,53440.642992711,60763.48256116,1997.014295334
Sumatera Selatan,Kota Prabumulih,2021,Desember,Bank Umum,Konvensional,4596.539308433,3259.336195156,4444.100844705,59.862765457
Sumatera Selatan,All Sumatera Selatan,2021,Desember,Bank Umum,Konvensional,100578.687919279,80047.295599647,91560.299530719,2483.785035761
Sumatera Selatan,Kab. Banyuasin,2022,Desember,Bank Umum,Konvensional,1062.207471241,1027.338212914,749.830167312,64.955061925
Sumatera Selatan,Kab. Empat Lawang,2022,Desember,Bank Umum,Konvensional,657.240596915,620.431707509,343.722713934,0.519357438
