Provinsi,Tahun,Bulan,Jenis Kredit/Pembiayaan,"Nominal Kredit 
(Rp Miliar)","Nominal NPL 
(Rp Miliar)",Nominal NPL Net (Rp Miliar),Jumlah Rekening UMKM
Sumatera Selatan,2019,Desember,UMKM,27137.735806473,1353.65742213,762.688608713,416988
KEPULAUAN BANGKA BELITUNG,2019,Desember,UMKM,5324.925028908,495.712229681,356.171100737,65348
Lampung,2019,Desember,UMKM,20368.827760507,691.204406339,423.992238567,471138
Jambi,2019,Desember,UMKM,15861.673936333,531.033633841,367.618753291,200621
Bengkulu,2019,Desember,UMKM,7838.919265363,244.479984832,153.497800335,136625
Sumatera Selatan,2020,Desember,UMKM,27159.622984296,1238.640264139,539.794392478,415841
KEPULAUAN BANGKA BELITUNG,2020,Desember,UMKM,4782.578581529,303.986849804,179.645323683,63300
Lampung,2020,Desember,UMKM,20809.112592687,643.364080607,308.605747068,476539
Jambi,2020,Desember,UMKM,15653.521162034,512.533258711,244.001969761,196212
Bengkulu,2020,Desember,UMKM,8661.005459928,216.594081158,112.841737814,141989
Sumatera Selatan,2021,Desember,UMKM,30851.447906538,1235.311520052,516.93931755,514029
KEPULAUAN BANGKA BELITUNG,2021,Desember,UMKM,5526.519403377,294.110592273,160.873185465,75329
Lampung,2021,Desember,UMKM,24305.831503139,833.278494513,404.253256431,554878
Jambi,2021,Desember,UMKM,18543.418314907,542.082719299,260.145457197,274156
Bengkulu,2021,Desember,UMKM,10652.570275043,260.807283877,130.786157475,186305
Sumatera Selatan,2022,Desember,UMKM,35542.693410206,1389.585674679,498.545232577,625746
KEPULAUAN BANGKA BELITUNG,2022,Desember,UMKM,6274.749181043,309.861394326,151.182692529,85529
Lampung,2022,Desember,UMKM,27899.536955538,931.281033048,432.49950063,610267
Jambi,2022,Desember,UMKM,21702.73560468,609.325977784,263.3960327,273103
Bengkulu,2022,Desember,UMKM,12325.000136474,230.941590379,105.195490198,207130
Sumatera Selatan,2023,Januari,UMKM,577.953994243,74.609342528,52.744023358,11316
