Negara,Provinsi,Tahun,Bulan,Total Aset,Giro,Tabungan,Deposito,Total DPK ,Modal Kerja,Investasi,Konsumsi,Total Kredit,Nominal NPL Gross,Rasio NPL Gross,Nominal NPL Net,Rasio NPL Net,Loan to Deposit Rastio (LDR)
INDONESIA,SUMATERA SELATAN,2023,Januari,117786.320137515,16125.268569279,50986.857228418005,39886.491075587,106998.6169,32801.452278603,21163.557876387,41739.279403324996,95704.28956,3022.960784466,0.03158647119,900.2543887549999,0.009406625272,0.8944441747
INDONESIA,SUMATERA SELATAN,2023,Februari,117101.560766895,17262.392701633,50296.165181668,38913.669408247006,106472.2273,32928.448410927,21149.05725152,41942.698930032006,96020.20459,3097.591132302,0.03225978476,937.3693299,0.009762209255,0.9018333422
INDONESIA,SUMATERA SELATAN,2023,Maret,116515.70155768,17065.992834513,50449.593583955,38165.865787771996,105681.4522,34375.002943362,20890.402440672002,42351.054888963,97616.46027,3073.1930287379996,0.03148232399,908.198924264,0.009303747767,0.9236858336
INDONESIA,SUMATERA SELATAN,2023,April,118512.354576843,17805.145308037,52215.654030538004,38711.148276563,108731.9476,34979.545543983,21160.736459087002,42380.601755250005,98520.88376,3175.175326682,0.0322284495,970.483201905,0.00985053285,0.9060895709
INDONESIA,SUMATERA SELATAN,2023,Mei,119012.427637751,17476.415417736,51735.624854759,39172.985179767,108385.0255,35406.979976332004,21297.468099585,42681.64542604401,99386.0935,3276.391888683,0.03296630115,1072.939989645,0.01079567525,0.9169725531
INDONESIA,SUMATERA SELATAN,2023,Juni,120741.28680642799,16445.782782212,52321.01493831701,39695.062664875004,108461.8604,35745.173566718,21081.993746789,42868.807357498,99695.97467,3086.684375683,0.03096097296,1009.365239303,0.01012443323,0.919180017
INDONESIA,SUMATERA SELATAN,2023,Juli,113422.813940169,16933.823042489,52539.148513996,31700.132091190004,101173.1036,35623.375456556,21408.716728940002,43102.546759217,100134.6389,3172.986802818,0.03168720471,989.184736527,0.009878546994,0.9897357631
INDONESIA,SUMATERA SELATAN,2023,Agustus,115587.065461189,16801.465802093,52142.485201408,31868.19140174,100812.1424,37069.130213148004,21783.661917847,43597.032384520004,102449.8245,3338.056314667,0.03258235268,1075.8739280109999,0.01050147165,1.016244889
INDONESIA,SUMATERA SELATAN,2023,September,117237.34325283299,18446.095204721,52101.833429802,31549.189071937002,102097.1177,37850.67970934301,22117.474400223,44100.471061740995,104068.6252,3858.124398516,0.03707288717,1358.971674588,0.01305841864,1.019310119
INDONESIA,SUMATERA SELATAN,2023,Oktober,120107.66737999799,20571.55132903,52861.42328000299,30940.702005981002,104373.6766,37784.533399415996,22516.143287835,44561.870974016994,104862.5477,3871.7564532070005,0.03692220473,1403.333174517,0.01338259661,1.004683854
INDONESIA,SUMATERA SELATAN,2023,November,120858.219510895,18841.299779203,53323.394342674,31207.572819119,103372.2669,38151.189499972,23127.640956309002,44893.478262553,106172.3087,3858.723190373,0.03634396988,1290.8948475759998,0.012158489,1.027086973
INDONESIA,SUMATERA SELATAN,2023,Desember,121347.342494485,15597.760172711,54670.62382628999,33857.636192549995,104126.0202,37838.530096255,21978.783406193,45186.739041878995,105004.0525,3629.138993299,0.03456189457,1188.602691749,0.01131958875,1.008432401
INDONESIA,SUMATERA SELATAN,2024,Januari,125178.247593577,17684.946712291,53644.754697103,32720.161636646,104049.863,37151.356709676,21908.253898793,53083.473309322,112143.0839,4002.6115613919997,0.03569200544,1057.775428859,0.009432373285,1.077782139
INDONESIA,SUMATERA SELATAN,2024,Februari,117390.74936818398,18835.263422392,52410.172390508,30278.156872931002,101523.5927,36829.06609608701,22106.565797903,45678.154916533,104613.7868,3807.6614083169998,0.03639731936,1003.710105164,0.009594434307,1.030438187
INDONESIA,SUMATERA SELATAN,2024,Maret,119650.075720935,19165.147106474,53330.87821825,30736.335423125,103232.3607,37527.890448768005,22111.071691559,46334.169606622,105973.1317,3818.428327824,0.03603204194,1021.870266879,0.009642729719,1.026549533
INDONESIA,SUMATERA SELATAN,2024,April,121435.394680649,18997.338510904,54305.141152509,31428.717837428,104731.1975,37924.69705449501,22539.826980096,46515.191404727,106979.7154,3828.535853651,0.03578749334,1075.2613313749998,0.01005107676,1.021469419
INDONESIA,SUMATERA SELATAN,2024,Mei ,122796.116954109,19161.777983506,54299.493535474,33913.622441777996,107374.894,39546.726681857,22944.328178979,46922.37087923301,109413.4257,3983.804820894,0.03641056656,1173.044377021,0.01072121057,1.018985181
INDONESIA,SUMATERA SELATAN,2024,Juni,126995.63850716401,19242.574592826,55162.316198390996,33034.785699394,107439.6765,42132.131285469,22005.583826801998,47500.765063379,111638.4802,2631.118885298,0.02356820767,1030.3443141569999,0.009229293632,1.039080569
INDONESIA,SUMATERA SELATAN,2024,Juli,131340.92764831,19712.775981689,56332.88818823401,32588.391998745,108634.0562,45727.40452608,22782.188710286,48124.781843324,116634.3751,2639.57824618,0.02263122038,1040.4054092330002,0.008920229637,1.073644667
INDONESIA,SUMATERA SELATAN,2024,Agustus,132721.778647147,20731.697812315,55900.784985933,32938.221331227,109570.7041,45825.370241036,22907.198147805997,48437.818570675,117170.387,2644.817083801,0.02257240206,1034.947837443,0.008832844751,1.069358711
INDONESIA,SUMATERA SELATAN,2024,September,134496.91895216602,21452.279660697,56634.0331026,32491.934532163003,110578.2473,46101.155215487,23537.104516413,48804.62965310599,118442.8894,2614.330576732,0.02207249916,1080.352945516,0.009121298468,1.071122868
INDONESIA,SUMATERA SELATAN,2024,Oktober,136775.13110361,22228.061895059,57455.796925935996,32702.311410469,112386.1702,46467.996182611,24584.130874583,49515.621149668,120567.7482,2679.8069551770004,0.02222656552,1079.571923993,0.008954068895,1.072798797
